Ciudad,Fecha,Temperatura
Bogota,01/01/2022,12.9
Medellin,01/01/2022,23.9
Cali,01/01/2022,28.4
Barranquilla,01/01/2022,29.4
Cartagena,01/01/2022,31.8
Bogota,02/01/2022,15.1
Medellin,02/01/2022,21.5
Cali,02/01/2022,29.9
Barranquilla,02/01/2022,31.8
Cartagena,02/01/2022,29.2
Bogota,03/01/2022,13.9
Medellin,03/01/2022,24.5
Cali,03/01/2022,27.3
Barranquilla,03/01/2022,33.0
Cartagena,03/01/2022,29.7
Bogota,04/01/2022,15.9
Medellin,04/01/2022,22.8
Cali,04/01/2022,24.7
Barranquilla,04/01/2022,28.4
Cartagena,04/01/2022,31.7
Bogota,05/01/2022,15.9
Medellin,05/01/2022,24.1
Cali,05/01/2022,26.4
Barranquilla,05/01/2022,33.3
Cartagena,05/01/2022,30.0
Bogota,06/01/2022,16.2
Medellin,06/01/2022,23.2
Cali,06/01/2022,25.0
Barranquilla,06/01/2022,29.0
Cartagena,06/01/2022,28.1
Bogota,07/01/2022,17.0
Medellin,07/01/2022,25.7
Cali,07/01/2022,26.8
Barranquilla,07/01/2022,30.2
Cartagena,07/01/2022,32.9
Bogota,08/01/2022,12.2
Medellin,08/01/2022,23.7
Cali,08/01/2022,27.9
Barranquilla,08/01/2022,32.9
Cartagena,08/01/2022,31.5
Bogota,09/01/2022,12.1
Medellin,09/01/2022,23.4
Cali,09/01/2022,28.2
Barranquilla,09/01/2022,30.7
Cartagena,09/01/2022,31.2
Bogota,10/01/2022,14.3
Medellin,10/01/2022,25.5
Cali,10/01/2022,26.6
Barranquilla,10/01/2022,29.3
Cartagena,10/01/2022,29.0
Bogota,11/01/2022,16.1
Medellin,11/01/2022,23.5
Cali,11/01/2022,29.4
Barranquilla,11/01/2022,31.6
Cartagena,11/01/2022,27.9
Bogota,12/01/2022,14.3
Medellin,12/01/2022,24.8
Cali,12/01/2022,29.7
Barranquilla,12/01/2022,29.0
Cartagena,12/01/2022,29.3
Bogota,13/01/2022,15.4
Medellin,13/01/2022,24.6
Cali,13/01/2022,25.0
Barranquilla,13/01/2022,29.5
Cartagena,13/01/2022,28.8
Bogota,14/01/2022,14.4
Medellin,14/01/2022,24.5
Cali,14/01/2022,26.9
Barranquilla,14/01/2022,28.4
Cartagena,14/01/2022,29.6
Bogota,15/01/2022,16.8
Medellin,15/01/2022,22.5
Cali,15/01/2022,29.1
Barranquilla,15/01/2022,31.0
Cartagena,15/01/2022,29.0
Bogota,16/01/2022,12.2
Medellin,16/01/2022,23.1
Cali,16/01/2022,28.2
Barranquilla,16/01/2022,32.9
Cartagena,16/01/2022,29.2
Bogota,17/01/2022,13.8
Medellin,17/01/2022,22.5
Cali,17/01/2022,24.4
Barranquilla,17/01/2022,33.7
Cartagena,17/01/2022,29.9
Bogota,18/01/2022,16.7
Medellin,18/01/2022,24.8
Cali,18/01/2022,26.8
Barranquilla,18/01/2022,30.1
Cartagena,18/01/2022,32.8
Bogota,19/01/2022,12.4
Medellin,19/01/2022,20.9
Cali,19/01/2022,27.3
Barranquilla,19/01/2022,29.4
